DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/media/Newly Added/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MODIFY, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
